name,address,tel,time,lat,lng
강남세움점,서울 강남구 광평로60길 22 1층,02-2184-8701,"(월-토) 
오전 10:30 ~ 오후 6:30 
기증센터 마감 : 오후 5시",37.4869703890357,127.10695276213
강서점,서울 강서구 내발산동 702-4 제지하1층 제엘01호,02-3661-9101,"(월-토) 
오전 10:30 ~ 오후 7:00
기증센터 마감 : 오후 5시",37.5520351958841,126.836662471696
공릉점,서울 노원구 동일로180길 14 1층 011호,02-6953-9820,"(월-토) 
오전 10:30 ~ 오후 7:00 
기증센터 마감 : 오후 6시",37.6219534132134,127.075326139356
광주MBC옛터점,광주 동구 제봉로 145 1층,062-227-9192,"(월-토) 
오전 10:30 ~ 오후 7:00",35.1505039646394,126.920086337366
광주우산점,광주 광산구 월곡산정로 12 지하1층,062-942-9192,"(월-토) 
오전 10:30 ~ 오후 7:00",35.1663171496993,126.803870190698
구리점,경기 구리시 장자호수길 62,031-524-9891,"(월-토) 
오전 10:30 ~ 오후 7:00 
기증센터 마감 : 오후 6:00",37.5844007331042,127.137064642597
군산점,전북특별자치도 군산시 대학로 76,063-465-9197,"(월-토) 
오전 10:30 ~ 오후 7:00 
기증센터 마감 : 오후 7:00",35.9836564237658,126.708752957959
금천점,서울 금천구 시흥대로 350 1층,02-807-0921,"(월-토) 
오전 10:30 ~ 오후 7:00
기증센터 마감 : 오후 6:30",37.464585161063,126.898031023435
남구로점,서울 구로구 구로동로 34,02-866-0921,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:00",37.4846965004551,126.886558766573
단대오거리점,경기 성남시 중원구 광명로 279,031-707-9040,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6시",37.4439283192883,127.157092961831
대전둔산점,대전 서구 문예로 17,042-471-9191,"(월-토) 
전 10:30 ~ 오후 7:00
물품기증 마감 : 오후 6:30",36.3482469066146,127.389849845207
대전법동점,대전 대덕구 중리북로 12 1층,042-710-9199,"월 - 토
10:30 - 19:00
* 물품기증 마감 18:00",36.3672751167738,127.428799409791
대전점,대전 대덕구 동서대로1777번길 1 1층,042-345-2003,"(월-토) 
10:30 ~ 19:00 
물품기증 마감 : 18:00",36.3541447077905,127.443118710984
도봉점,서울 도봉구 마들로 664-17,02-6910-9191,"(월-토) 
오전 10:30 ~ 오후 7:00",37.6695666171626,127.047447494404
반야월점,대구 동구 동호동 351-1 1층,053-961-9991,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",35.8654966481649,128.713974423783
백석점,경기 고양시 일산동구 일산로 142,031-907-4601,"(월-토) 
오전 09:30 ~ 오후 7:00  
물품기증마감시간: 오후 6:30",37.6499235464051,126.793731208213
부산망미점,부산 수영구 연수로 343,051-758-9901,"(월-토)
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",35.1718107183015,129.108240913225
분당점,경기 성남시 분당구 이매로 49 1층,070-4632-3610,"(월-토) 
오전 10:30 ~ 오후 7:00",37.3949973454214,127.126386439392
석남점,인천 서구 가정로 272,032-577-9104,"(월-토) 
오전 10:30 ~ 오후 7:30 
물품기증 마감 : 오후 6:00",37.5091522275308,126.672668401366
성남점,경기 성남시 수정구 산성대로 305 1층,031-707-9040,"(월-토) 
오전 10:30 ~ 오후 7:00
물품기증 마감 : 오후 6시",37.442466581056,127.150604106193
성북점,서울 성북구 오패산로4길 17,02-941-9195,"(월-토) 
오전 10:30 ~ 오후 7:00
물품기증 마감 : 오후 6:30",37.604141967354,127.038748056823
송파점,서울 송파구 마천로 226,02-6913-9191,"(월-토) 
오전 10:30 ~ 오후 7:00",37.5002199431142,127.142922704705
수성점,대구 수성구 수성로 140-1 1층,053-710-9190,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",35.8376329333865,128.612277006707
수원북문점,경기 수원시 장안구 팔달로 269 1층,031-242-9192,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6시",37.2895604249881,127.01420387247
쌍문점,서울 도봉구 도봉로 533 102호,02-6910-9150,"월 - 토
10:30 - 19:00
* 물품기증 마감 18:30",37.6530172736017,127.036945906699
안산상록점,경기 안산시 상록구 용신로 244  1층,031-407-0620,"월 - 토
10:30 - 19:00
* 물품기증 마감 18:30",37.3031040324424,126.849418544166
야탑점,경기 성남시 분당구 양현로 479 1층,031-707-9040,"(월-토) 
오전 10:30 ~ 오후 7:00
물품기증 시간 : 오전 10:30 ~ 18:00",37.4166472792069,127.135378490985
엑스코점(아울렛),대구 북구 유통단지로7길 42,053-716-9199,"(월-토)
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",35.908814830587,128.607934421575
여주홍문점,경기 여주시 세종로 31 1층,031-882-9192,"월 - 토
10:00 - 19:00
* 물품기증 마감 18:30",37.2949313454495,127.636695283305
영종도점,인천 중구 영종대로327번길 4,032-513-9102,"(월-토) 
오전 10:30 ~ 오후 7:30 
물품기증 마감 : 오후 6:00",37.4819549035392,126.507390779225
오금점,서울 송파구 오금로 252 상가 1층,02-6913-9191,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",37.5055780918361,127.121195830812
우리금융점,서울 중구 소공로 51 우리금융그룹 본사 지하 1층,02-310-9195,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:00",37.5594390741134,126.981750727877
울산무거점,울산 남구 굴화4길 6,052-222-6149,"(월-토) 
오전 10:30 ~ 오후 7:00
물품기증 마감 : 오후 6:30",35.5544588405378,129.26448890906
월성점,대구 달서구 조암남로 89,053-637-9991,"(월-토) 
오전 10:30 ~ 오후 7:00
물품기증 마감 : 오후 6:30",35.8196549307039,128.523325311536
유성점,대전 유성구 은구비로 36 지하1층,042-825-9191,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",36.3756155804099,127.318996559246
인천점,인천 부평구 안남로 429,032-513-9101,"(월-토) 
오전 10:30 ~ 오후 7:30 
물품기증 마감 : 오후 6:00",37.5213016522323,126.710182022809
일산점,경기 고양시 일산동구 고양대로 956,031-964-9192,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",37.675787107996,126.80024389648
전주점,전북특별자치도 전주시 완산구 팔달로 218,063-282-9192,"(월-토) 
오전 10:30 ~ 오후 7:00 
기증센터 마감 : 오후 7:00",35.8217871089021,127.146153854835
정자점,경기 성남시 분당구 정자로 88 1층,031-718-9192,"(월-토) 
오전 10:30 ~ 오후 7:00
물품기증 시간 : 오전 10:00 ~ 18:00",37.3631668687279,127.114438686502
주안점,인천 미추홀구 인주대로 382,032-872-9101,"(월-토) 
오전 10:30 ~ 오후 7:30 
물품기증 마감 : 오후 5:30",37.4511489882117,126.678830905579
창동점,서울 도봉구 도봉로130길 13-17,02-6910-9192,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6시",37.6553483442312,127.039573590733
창원2호점,경남 창원시 성산구 비음로4번길 36,055-289-3661,"(월-토)
오전 10:30 ~ 오후 7:00
물품기증 마감 : 오후 6:30",35.226091312874,128.698650557648
창원3호점,경남 창원시 성산구 대암로 81 1층,055-282-9691,"(월-토) 
오전 10:30 ~ 오후 7:00 
물품기증 마감 : 오후 6:30",35.2156623145245,128.705317779392
창원점,경남 창원시 성산구 외동반림로 245,055-912-9191,"(월-토) 
오전 10:30 ~ 오후 7:00",35.2392142983983,128.679175002219
